SKU,ITEMID,DESCRIPTION,VENDOR,CAT,QUANTITY,PRICE,WEIGHT,SIZE,UNIT,SUB-CATEGORY,STATUS,UPC
100205,USB2HAB2RA3,Startech USB2HAB2RA3 3 ft USB2 Cable A Right Angle to B Right Angel Retail,StarTech.com,CB, 0,6.92,0.09,EA,LB,CBE,ACTIVE,065030839747
100321,RSC-R1UT-E16,Supermicro Accessory RSC-R1UT-E16 Riser card for twin motherboard Retail,Supermicro,AC, 0,20.72,0.30,EA,LB,AC,ACTIVE,672042052431
100375,MRK-401ST-BK,Vantec MRK-401ST-BK EZ Swap 43.5 Aluminum Removable Trayless SATA Hard Drive,Vantec Thermal Technologies,RD, 0,35.86,2.00,EA,LB,RMS,ACTIVE,844767012728
100543,DISPLPORT3L,Startech Cable DISPLPORT3L 3ft DisplayPort Cable with Latches Retail,StarTech.com,CB, 0,13.08,0.16,EA,LB,CBE,ACTIVE,065030839167
100544,MDISPLPORT3,Startech Cable MDISPLPORT3 3 ft Mini DisplayPort Cable M M Retail,StarTech.com,CB, 0,12.59,0.08,EA,LB,CBE,ACTIVE,065030838894
100545,MDISPLPORT6,Startech Cable MDISPLPORT6 6 ft Mini DisplayPort Cable M M Retail,StarTech.com,CB, 0,13.76,0.15,EA,LB,CBE,ACTIVE,065030838887
100738,MCP-290-00059-0B,Supermicro Accessory RAIL SET+HANDLES QUICK QUICK OPTIONAL 4U 17.2W TOWER RTL,Supermicro,AC, 5,108.44,7.00,EA,LB,AC,ACTIVE,672042053001
100769,RM41300-F1,CHENBRO RM 4U Open-Bay Rackmount RM413 No PS 0*BP Tray 2*USB 1 Front Door,Chenbro,CS, 19,192.34,45.00,EA,LB,CSR,ACTIVE,NA
100923,45PATCH5WH,Startech 45PATCH5WH 5 ft White Snagless Cat5e UTP Patch Cable Retail,StarTech.com,CB, 0,5.04,0.18,EA,LB,CBN,ACTIVE,065030793650
100924,45PATCH7WH,Startech 45PATCH7WH 7 ft White Snagless Cat5e UTP Patch Cable Retail,StarTech.com,CB, 0,5.41,0.18,EA,LB,CBN,ACTIVE,065030793643
100926,BLANKB1,Startech BLANKB1 1U Rack Blank Panel for 19in Server Racks and Cabinets Retail,StarTech.com,AC, 0,11.58,1.10,EA,LB,AC,ACTIVE,065030837644
100927,BLANKB2,Startech BLANKB2 2U Rack Blank Panel for 19in Server Racks and Cabinets Retail,StarTech.com,AC, 0,19.61,1.32,EA,LB,AC,ACTIVE,065030837651
100930,N6PATCH15GN,Startech N6PATCH15GN 15ft Green Snagless Cat6 UTP Patch Cable ETL Verified RTL,StarTech.com,CB, 0,6.39,0.37,EA,LB,CBN,ACTIVE,065030838092
100932,UNISLDSHF19,Startech UNISLDSHF19 19in Vented Adjustable Depth Sliding Cabinet Shelf Retail,StarTech.com,AC, 0,126.67,18.52,EA,LB,AC,ACTIVE,065030837859
100950,SY-CAB40007,SYBA Cable Power Cable SY-CAB40007 Molex 4pin to 2 x 15pin SATA Retail,SYBA,CB, 0,2.60,0.05,EA,LB,CBI,ACTIVE,810154017003
101062,SY-PWCB-SATA,SYBA Cable SY-PWCB-SATA SATA Power Cable Molex 4-pin Male to 15-pin Retail,SYBA,CB, 0,1.99,0.10,EA,LB,CBI,ACTIVE,810154011315
101110,CSE-825TQ-563LPB,Supermicro Case CSE-825TQ-563LPB 2U 560W Black 8x3.5SAS SATA Slim DVD Retail,Supermicro,CS, 0,533.11,60.15,EA,LB,CSS,ACTIVE,672042068906
